name,hasCustomObject,keyPrefix,label,labelPlural,createable,updateable,deletable,activateable,associateEntityType,associateParentEntity,compactLayoutable,custom,customSetting,deepCloneable,defaultImplementation,deprecatedAndHidden,feedEnabled,hasSubtypes,idEnabled,implementedBy,implementsInterfaces,isInterface,isSubtype,layoutable,mergeable,mruEnabled,networkScopeFieldName,queryable,replicateable,retrieveable,searchable,undeletable,DescribeFields,searchLayoutable,triggerable,RecordTypeInfos
AcceptedEventRelation,,,Accepted Event Relation,Accepted Event Relations,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
Account,true,001,Account,Accounts,true,true,true,false,,,true,false,false,false,,false,true,false,true,,,false,false,true,true,true,,true,true,true,true,true,,true,true,
Account_Products__c,true,a4G,Account Products,Account Products,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
Account_Program_Area__c,true,a00,Account Program Area,Account Program Areas,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,true,true,,true,true,
Account_Rating__c,true,a02,Account Rating,Account Ratings,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
Account_Relationship_History__c,true,a25,Account Relationship History,Account Relationship Histories,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,false,true,,,true,
Account_Timeline__c,true,a4r,Account Timeline,Account Timelines,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
AccountBrand,true,0TU,Account Brand,Account Brands,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
AccountContactRelation,true,07k,Account Contact Relationship,Account Contact Relationships,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,false,,,true,
AccountContactRole,true,02Z,Account Contact Role,Account Contact Roles,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,false,,,,
Accounting_Note__c,true,a4I,Accounting Note,Accounting Notes,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
AccountPartner,,00I,Account Partner,Account Partner,true,false,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,false,true,false,false,,,,
ActionLinkGroupTemplate,,07g,Action Link Group Template,Action Link Group Templates,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,false,true,false,false,,,,
ActionLinkTemplate,,07l,Action Link Template,Action Link Templates,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,false,true,false,false,,,,
ActionPlan,true,07r,Action Plan,Action Plans,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,false,true,,,true,
ActionPlanItem,,07s,Action Plan Item,Action Plan Items,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,true,,,,
ActionPlanItemDependency,true,0my,Action Plan Item Dependency,Action Plan Item Dependencies,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,true,true,false,true,,,true,
ActionPlanTemplate,,0PR,Action Plan Template,Action Plan Templates,true,true,true,false,,,true,false,false,true,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,,
ActionPlanTemplateItem,,0PJ,Action Plan Template Item,Action Plan Template Items,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,,
ActionPlanTemplateItemValue,,0PN,Action Plan Template Item Value,Action Plan Template Item Values,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,,
ActionPlanTemplateVersion,,0PT,Action Plan Template Version,Action Plan Template Versions,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,,
ActionPlanTmplPkgConfig,,0yy,Action Plan Template Package Config,Action Plan Template Package Config,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,false,true,false,false,,,,
ActionPlnTmplItmDependency,true,0mx,Action Plan Template Item Dependency,Action Plan Template Item Dependencies,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,false,true,,,true,
Active_User_Report__c,true,a4J,Active User Report,Active User Reports,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
ActiveFeatureLicenseMetric,,5H2,Active Feature License Metric,Active Feature License Metrics,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
ActivePermSetLicenseMetric,,5H1,Active Permission Set License Metric,Active Permission Set License Metrics,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
